slug,n,amazon,hulu,crankin,wowow,tsutaya,abema
the-snow-white-murder-case-2014,204,1,1,1,1,1,1
byplayers-1,205,1,1,1,1,1,1
byplayers-2,206,1,1,1,1,1,1
les-saveurs-du-palais-2012,207,1,1,1,1,1,1
tokyo-playboy-club-2012,208,1,1,1,1,1,1
house-of-himiko-2005,2749,1,1,1,1,1,1
byplayers-3,209,1,1,1,1,1,1
burlesque-2010,211,1,1,1,1,1,1
byplayers-5,212,1,1,1,1,1,1
hairspray-2007,214,1,1,1,1,1,1
the-world-of-kanako-2014,218,1,1,1,1,1,1
something-like-something-like-it-2016,219,1,1,1,1,1,1
dogs-way-2014,220,1,1,1,1,1,1
stuck-in-love-2012,221,1,1,1,1,1,1
byplayers-6,223,1,1,1,1,1,1
spy-2015,230,1,1,1,1,1,1
the-maze-runner-2014,233,1,1,1,1,1,1
kimi-no-suizo-o-tabe-tai,236,1,1,1,1,1,1
kindan-no-joshi-keimusho,237,1,1,1,1,1,1
sukima-suki-2017,238,1,1,1,1,1,1
maze-runner-the-scorch-trials-2015,239,1,1,1,1,1,1
byplayers-7,245,1,1,1,1,1,1
super-8-2011,247,1,1,1,1,1,1
kichijoji-dake-ga-sumi-tai-machi-desu-ka,248,1,1,1,1,1,1
kichijoji-dake-ga-sumi-tai-machi-desu-ka-2,249,1,1,1,1,1,1
kichijoji-dake-ga-sumi-tai-machi-desu-ka-3,250,1,1,1,1,1,1
tsukushi-no-ero-ii-hanashi,251,1,1,1,1,1,1
ghost-in-the-shell-2017,252,1,1,1,1,1,1
xxx-return-of-xander-cage-2017,253,1,1,1,1,1,1
the-saint-1997,254,1,1,1,1,1,1
a-good-day-to-die-hard-2013,255,1,1,1,1,1,1
otoko-no-issho-2014,256,1,1,1,1,1,1
wilson-2017,258,1,1,1,1,1,1
kuchibiru-ni-uta-o-2015,259,1,1,1,1,1,1
the-100th-love-with-you-2017,260,1,1,1,1,1,1
transformers-the-last-knight-2017,261,1,1,1,1,1,1
oblivion-2013,262,1,1,1,1,1,1
after-the-rain-2018,272,1,1,1,1,1,1
after-the-rain-2018-2,275,1,1,1,1,1,1
lost-paradise-1997,276,1,1,1,1,1,1
teiichi-no-kuni-2017,277,1,1,1,1,1,1
sun-do-me-new,278,1,1,1,1,1,1
tokyo-nammin,279,1,1,1,1,1,1
deadpool-2016,281,1,1,1,1,1,1
zen-in-kataomoi,282,1,1,1,1,1,1
kanojo-wa-uso-o-aishi-sugi-teru,284,1,1,1,1,1,1
shibuya,285,1,1,1,1,1,1
8000-miles-2009,286,1,1,1,1,1,1
romance-2015,290,1,1,1,1,1,1
jigyaku-no-uta-2007,292,1,1,1,1,1,1
the-catch-man-2006,293,1,1,1,1,1,1
don-juu,294,1,1,1,1,1,1
cyborg-she-2008,295,1,1,1,1,1,1
dreams-for-sale-2012,296,1,1,1,1,1,1
akai-ito-2008,299,1,1,1,1,1,1
american-made-2017,300,1,1,1,1,1,1
dodgeball-a-true-underdog-story-2004,301,1,1,1,1,1,1
edge-of-tomorrow-2014,302,1,1,1,1,1,1
whiplash-2014,303,1,1,1,1,1,1
koizora-2007,305,1,1,1,1,1,1
slumdog-millionaire-2008,306,1,1,1,1,1,1
toki-o-kakeru-shojo,307,1,1,1,1,1,1
baipureiyazu-moshimo-mei-wakiyaku-ga-tere-higashi-asadora-de-mujinto-seikatsu-shi-tara,310,1,1,1,1,1,1
oke-rojin,313,1,1,1,1,1,1
american-beauty-1999,317,1,1,1,1,1,1
shingeki-no-kyojin-attack-on-titan,321,1,1,1,1,1,1
bokyaku-no-sachiko,322,1,1,1,1,1,1
recipes-of-diet-diaries-2013,323,1,1,1,1,1,1
fish-story-2009,324,1,1,1,1,1,1
yon-nichikan-no-kiseki,328,1,1,1,1,1,1
shinjuku-swan-2015,331,1,1,1,1,1,1
hirunaka-no-ryusei-2017,332,1,1,1,1,1,1
the-spy-next-door-2010,334,1,1,1,1,1,1
take-gaku,2738,1,1,1,1,1,1
judge-2014,347,1,1,1,1,1,1
climbing-to-spring-2014-2,348,1,1,1,1,1,1
welcome-back-mr-mcdonald-1997,349,1,1,1,1,1,1
halfway-2009,353,1,1,1,1,1,1
hentai-kamen-abnormal-crisis-2016,355,1,1,1,1,1,1
short-cut-2001,356,1,1,1,1,1,1
lesson-of-the-evil-2012,357,1,1,1,1,1,1
tokyo-tribe-2014,359,1,1,1,1,1,1
let-s-go-jets-2017,360,1,1,1,1,1,1
sekai-kara-neko-ga-kietanara-2016,361,1,1,1,1,1,1
good-morning-show-2016,362,1,1,1,1,1,1
ayame-kun-no-nombiri-nikushoku-nisshi,363,1,1,1,1,1,1
where-to-invade-next-2016,365,1,1,1,1,1,1
meru-2015,373,1,1,1,1,1,1
hozuki-san-ka-no-aneki,374,1,1,1,1,1,1
ninja-kari,375,1,1,1,1,1,1
boys-on-the-run-2010,376,1,1,1,1,1,1
neet-election,377,1,1,1,1,1,1
sakurada-mongai-no-hen,379,1,1,1,1,1,1
silent-night-2012,390,1,1,1,1,1,1
goodmornin-everyone-2012,395,1,1,1,1,1,1
tokyo-ghoul-2017,400,1,1,1,1,1,1
warau-manekineko,401,1,1,1,1,1,1
interstellar-2014,403,1,1,1,1,1,1
evangelion-2-0-you-can-not-advance-2009,404,1,1,1,1,1,1
uchu-senso,405,1,1,1,1,1,1
guess-who-2005,407,1,1,1,1,1,1
za-mami-norowa-re-ta-sabaku-no-ojo,408,1,1,1,1,1,1
bangkok-revenge-2012,410,1,1,1,1,1,1
yumemiru-machi-no-surechigau-kiseki,411,1,1,1,1,1,1
when-the-last-sword-is-drawn-2003,412,1,1,1,1,1,1
tomb-raider-2018,413,1,1,1,1,1,1
grudge-match-2013,415,1,1,1,1,1,1
creed-2015,416,1,1,1,1,1,1
nigakute-amai-2016,419,1,1,1,1,1,1
starbuck-2011,421,1,1,1,1,1,1
desierto-2015,423,1,1,1,1,1,1
bakuman-2015,424,1,1,1,1,1,1
kamisama-no-iu-tori,431,1,1,1,1,1,1
the-mountain-between-us-2017,433,1,1,1,1,1,1
